time	map	reduce	shuffle	sort
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	4	0	0	0
13	8	0	0	0
14	8	0	0	0
15	8	0	0	0
16	8	0	0	0
17	8	0	0	0
18	8	0	0	0
19	8	0	0	0
20	8	0	0	0
21	8	0	0	0
22	8	0	0	0
23	8	0	0	0
24	8	0	0	0
25	8	0	0	0
26	8	0	0	0
27	8	0	0	0
28	8	0	0	0
29	8	0	0	0
30	8	0	0	0
31	8	0	0	0
32	8	0	0	0
33	8	0	0	0
34	8	0	0	0
35	8	0	0	0
36	8	0	0	0
37	8	0	0	0
38	8	0	0	0
39	8	0	0	0
40	8	0	0	0
41	8	0	0	0
42	8	0	0	0
43	8	0	0	0
44	8	0	0	0
45	8	0	0	0
46	8	0	0	0
47	8	0	0	0
48	8	0	0	0
49	8	0	0	0
50	8	0	0	0
51	8	0	0	0
52	8	0	0	0
53	8	0	0	0
54	8	0	0	0
55	8	0	0	0
56	8	0	1	0
57	8	0	1	0
58	8	0	1	0
59	7	0	1	0
60	8	0	1	0
61	8	0	1	0
62	8	0	1	0
63	8	0	1	0
64	6	0	1	0
65	8	0	1	0
66	8	0	1	0
67	8	0	1	0
68	8	0	1	0
69	8	0	1	0
70	8	0	1	0
71	8	0	1	0
72	8	0	1	0
73	8	0	1	0
74	8	0	1	0
75	8	0	1	0
76	8	0	1	0
77	8	0	1	0
78	8	0	1	0
79	8	0	1	0
80	8	0	1	0
81	8	0	1	0
82	8	0	1	0
83	8	0	1	0
84	8	0	1	0
85	8	0	1	0
86	8	0	1	0
87	8	0	1	0
88	8	0	1	0
89	8	0	1	0
90	8	0	1	0
91	8	0	1	0
92	8	0	1	0
93	8	0	1	0
94	8	0	1	0
95	8	0	1	0
96	8	0	1	0
97	8	0	1	0
98	8	0	1	0
99	8	0	1	0
100	8	0	1	0
101	8	0	1	0
102	8	0	1	0
103	8	0	1	0
104	8	0	1	0
105	8	0	1	0
106	7	0	1	0
107	8	0	1	0
108	5	0	1	0
109	4	0	1	0
110	4	0	1	0
111	4	0	1	0
112	4	0	1	0
113	4	0	1	0
114	4	0	1	0
115	4	0	1	0
116	4	0	1	0
117	4	0	1	0
118	4	0	1	0
119	4	0	1	0
120	4	0	1	0
121	4	0	1	0
122	4	0	1	0
123	4	0	1	0
124	4	0	1	0
125	4	0	1	0
126	4	0	1	0
127	4	0	1	0
128	4	0	1	0
129	4	0	1	0
130	4	0	1	0
131	4	0	1	0
132	4	0	1	0
133	4	0	1	0
134	4	0	1	0
135	4	0	1	0
136	4	0	1	0
137	4	0	1	0
138	4	0	1	0
139	4	0	1	0
140	3	0	1	0
141	2	0	1	0
142	2	0	1	0
143	2	0	1	0
144	2	0	0	1
145	2	0	0	1
146	2	0	0	1
147	2	0	0	1
148	2	0	0	1
149	2	0	0	1
150	2	0	0	1
151	2	0	0	1
152	2	0	0	1
153	2	0	0	1
154	2	0	0	1
155	2	0	0	1
156	2	0	0	1
157	2	0	0	1
158	2	0	0	1
159	2	0	0	1
160	2	0	0	1
161	2	0	0	1
162	2	0	0	1
163	2	0	0	1
164	1	1	0	0
165	0	1	0	0
166	0	1	0	0
167	0	1	0	0
168	0	1	0	0
169	0	1	0	0
170	0	1	0	0
171	0	1	0	0
172	0	1	0	0
173	0	1	0	0
174	0	1	0	0
175	0	1	0	0
176	0	1	0	0
177	0	1	0	0
178	0	1	0	0
179	0	1	0	0
180	0	1	0	0
181	0	1	0	0
182	0	1	0	0
183	0	1	0	0
184	0	1	0	0
185	0	1	0	0
186	0	1	0	0
187	0	1	0	0
188	0	1	0	0
189	0	1	0	0
190	0	1	0	0
191	0	1	0	0
192	0	1	0	0
193	0	1	0	0
194	0	1	0	0
195	0	1	0	0
196	0	1	0	0
197	0	1	0	0
198	0	1	0	0
199	0	1	0	0
200	0	1	0	0
201	0	1	0	0
202	0	1	0	0
203	0	1	0	0
204	0	1	0	0
205	0	1	0	0
206	0	1	0	0
207	0	1	0	0
208	0	1	0	0
209	0	1	0	0
210	0	1	0	0
211	0	1	0	0
212	0	1	0	0
213	0	1	0	0
214	0	1	0	0
215	0	1	0	0
216	0	1	0	0
217	0	1	0	0
218	0	1	0	0
219	0	1	0	0
220	0	1	0	0
221	0	1	0	0
222	0	1	0	0
223	0	1	0	0
224	0	1	0	0
225	0	1	0	0
226	0	1	0	0
227	0	1	0	0
228	0	0	0	0
229	0	0	0	0
230	0	0	0	0
231	0	0	0	0
232	0	0	0	0
233	0	0	0	0
234	0	0	0	0
235	0	0	0	0
236	0	0	0	0
237	0	0	0	0
