docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
143	243.0	2.0	2.0	122,500000	4,808111	dynamically	9,616222
143	243.0	13.0	2.0	19,692308	2,980228	way	5,960456
143	243.0	2.0	1.0	122,500000	4,808111	increase	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	scheduler.xml	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	minresources	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	parameters	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	pool	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	weight	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	seconds	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	pools	4,808111
143	243.0	2.0	1.0	122,500000	4,808111	move	4,808111
143	243.0	29.0	2.0	9,379310	2,238506	there	4,477012
143	243.0	3.0	1.0	82,000000	4,406719	particular	4,406719
143	243.0	3.0	1.0	82,000000	4,406719	every	4,406719
143	243.0	3.0	1.0	82,000000	4,406719	solution	4,406719
143	243.0	3.0	1.0	82,000000	4,406719	fair	4,406719
143	243.0	3.0	1.0	82,000000	4,406719	10	4,406719
143	243.0	5.0	1.0	49,600000	3,903991	questions	3,903991
143	243.0	6.0	1.0	41,500000	3,725693	read	3,725693
143	243.0	99.0	3.0	3,454545	1,239691	is	3,719073
143	243.0	101.0	3.0	3,405941	1,225521	to	3,676563
143	243.0	46.0	2.0	6,282609	1,837785	or	3,675571
143	243.0	7.0	1.0	35,714286	3,575551	between	3,575551
143	243.0	8.0	1.0	31,375000	3,446011	could	3,446011
143	243.0	8.0	1.0	31,375000	3,446011	jobs	3,446011
143	243.0	119.0	3.0	3,042017	1,112521	a	3,337562
143	243.0	133.0	3.0	2,827068	1,039240	the	3,117720
143	243.0	12.0	1.0	21,250000	3,056357	2	3,056357
143	243.0	12.0	1.0	21,250000	3,056357	1	3,056357
143	243.0	12.0	1.0	21,250000	3,056357	more	3,056357
143	243.0	14.0	1.0	18,357143	2,910019	know	2,910019
143	243.0	16.0	1.0	16,187500	2,784239	so	2,784239
143	243.0	18.0	1.0	14,500000	2,674149	other	2,674149
143	243.0	28.0	1.0	9,678571	2,269914	be	2,269914
143	243.0	29.0	1.0	9,379310	2,238506	this	2,238506
143	243.0	33.0	1.0	8,363636	2,123893	one	2,123893
143	243.0	44.0	1.0	6,522727	1,875293	that	1,875293
143	243.0	56.0	1.0	5,339286	1,675092	for	1,675092
143	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
