docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
152	243.0	1.0	2.0	244,000000	5,497168	nfs	10,994336
152	243.0	1.0	1.0	244,000000	5,497168	fixed	5,497168
152	243.0	1.0	1.0	244,000000	5,497168	dfs.name.dir	5,497168
152	243.0	1.0	1.0	244,000000	5,497168	mount	5,497168
152	243.0	1.0	1.0	244,000000	5,497168	deployment	5,497168
152	243.0	2.0	1.0	122,500000	4,808111	fails	4,808111
152	243.0	5.0	1.0	49,600000	3,903991	non	3,903991
152	243.0	6.0	1.0	41,500000	3,725693	restart	3,725693
152	243.0	7.0	1.0	35,714286	3,575551	ha	3,575551
152	243.0	9.0	1.0	28,000000	3,332205	namenode	3,332205
152	243.0	9.0	1.0	28,000000	3,332205	after	3,332205
152	243.0	133.0	3.0	2,827068	1,039240	the	3,117720
152	243.0	30.0	1.0	9,100000	2,208274	an	2,208274
152	243.0	33.0	1.0	8,363636	2,123893	have	2,123893
152	243.0	33.0	1.0	8,363636	2,123893	do	2,123893
152	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
152	243.0	56.0	1.0	5,339286	1,675092	for	1,675092
152	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
152	243.0	86.0	1.0	3,825581	1,341710	in	1,341710
152	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
152	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
