docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	1.0	2.0	72,000000	4,276666	020310	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	2.0	2.0	36,500000	3,597312	lancaster	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	26.0	4.0	3,730769	1,316614	mr	5,266458
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	46.0	5.0	2,543478	0,933533	i	4,667663
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	1.0	1.0	72,000000	4,276666	25483	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	1.0	1.0	72,000000	4,276666	french10	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	1.0	1.0	72,000000	4,276666	1025483	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	12.0	2.0	6,916667	1,933934	1533	3,867868
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	28.0	3.0	3,535714	1,262915	experts	3,788746
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	2.0	1.0	36,500000	3,597312	debelle	3,597312
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	2.0	1.0	36,500000	3,597312	philip	3,597312
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	70.0	5.0	2,014286	0,700265	council	3,501323
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	3.0	1.0	24,666667	3,205453	diallo	3,205453
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	3.0	1.0	24,666667	3,205453	raymond	3,205453
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	3.0	1.0	24,666667	3,205453	kokouma	3,205453
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	3.0	1.0	24,666667	3,205453	mouctar	3,205453
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	4.0	1.0	18,750000	2,931194	pleased	2,931194
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	4.0	1.0	18,750000	2,931194	etpusecurity	2,931194
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	70.0	4.0	2,014286	0,700265	security	2,801059
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	25.0	2.0	3,840000	1,345472	you	2,690945
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	51.0	3.0	2,392157	0,872195	2010	2,616586
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	55.0	3.0	2,290909	0,828949	have	2,486846
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	30.0	2.0	3,366667	1,213923	2004	2,427846
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	60.0	3.0	2,183333	0,780853	resolution	2,342558
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	8.0	1.0	9,875000	2,290006	consulting	2,290006
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	9.0	1.0	8,888889	2,184802	customs	2,184802
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	9.0	1.0	8,888889	2,184802	moon	2,184802
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	36.0	2.0	2,972222	1,089310	pursuant	2,178620
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	36.0	2.0	2,972222	1,089310	concerning	2,178620
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	10.0	1.0	8,100000	2,091864	1896	2,091864
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	10.0	1.0	8,100000	2,091864	expiring	2,091864
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	40.0	2.0	2,775000	1,020651	established	2,041301
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_99.txt	71.0	41.0	2.0	2,731707	1,004927	group	2,009854
