docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	22.0	518.0	4,227273	1,441557	draft	746,726547
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	60.0	536.0	2,183333	0,780853	resolution	418,537080
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	26.0	292.0	3,730769	1,316614	64	384,451417
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	13.0	202.0	6,461538	1,865867	vote	376,905223
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	24.0	260.0	3,958333	1,375823	third	357,713996
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	66.0	439.0	2,075758	0,730326	republic	320,613195
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	34.0	268.0	3,088235	1,127600	assembly	302,196753
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	46.0	318.0	2,543478	0,933533	i	296,863347
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	46.0	308.0	2,543478	0,933533	committee	287,528022
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	6.0	108.0	12,833333	2,552046	spoke	275,620963
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_64_PV.65.txt	71.0	4.0	94.0	18,750000	2,931194	arabic	275,532213
