docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	3.0	4.0	24,666667	3,205453	drc	12,821811
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	70.0	18.0	2,014286	0,700265	council	12,604764
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	2.0	3.0	36,500000	3,597312	khare	10,791937
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	70.0	13.0	2,014286	0,700265	security	9,103440
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	60.0	11.0	2,183333	0,780853	members	8,589380
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	1.0	2.0	72,000000	4,276666	outrages	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	1.0	2.0	72,000000	4,276666	abuse.the	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	1.0	2.0	72,000000	4,276666	mai.the	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	5.0	3.0	15,200000	2,721295	wallström	8,163886
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	59.0	10.0	2,203390	0,789997	democratic	7,899970
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	13.0	4.0	6,461538	1,865867	general’s	7,463470
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	66.0	10.0	2,075758	0,730326	republic	7,303262
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	2.0	2.0	36,500000	3,597312	atul	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	2.0	2.0	36,500000	3,597312	incident.the	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	15.0	4.0	5,733333	1,746297	welcomed	6,985188
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	56.0	8.0	2,267857	0,818835	all	6,550683
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10016.txt	71.0	36.0	6.0	2,972222	1,089310	sexual	6,535859
