docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	22.0	80.0	4,227273	1,441557	monuc	115,324563
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	59.0	98.0	2,203390	0,789997	democratic	77,419707
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	58.0	94.0	2,224138	0,799369	congo	75,140723
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	66.0	94.0	2,075758	0,730326	republic	68,650661
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	33.0	58.0	3,151515	1,147883	armed	66,577234
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	57.0	70.0	2,245614	0,808979	its	56,628530
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	3.0	16.0	24,666667	3,205453	monuc’s	51,287245
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	21.0	34.0	4,380952	1,477266	fardc	50,227049
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	39.0	46.0	2,820513	1,036919	protection	47,698261
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	1.0	11.0	72,000000	4,276666	66548	47,043327
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	56.0	56.0	2,267857	0,818835	all	45,854782
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	7.0	19.0	11,142857	2,410799	1906	45,805175
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	23.0	32.0	4,086957	1,407801	requests	45,049618
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	37.0	42.0	2,918919	1,071213	groups	44,990959
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	13.0	24.0	6,461538	1,865867	urges	44,780819
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1906.txt	71.0	45.0	46.0	2,577778	0,946928	government	43,558674
