docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	13.0	8.0	6,461538	1,865867	concept	14,926940
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	37.0	12.0	2,918919	1,071213	operations	12,854560
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	22.0	8.0	4,227273	1,441557	monuc	11,532456
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	15.0	5.0	5,733333	1,746297	revised	8,731485
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	12.0	4.0	6,916667	1,933934	rules	7,735736
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	10.0	3.0	8,100000	2,091864	robust	6,275592
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	10.0	3.0	8,100000	2,091864	provides	6,275592
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	22.0	4.0	4,227273	1,441557	engagement	5,766228
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	5.0	2.0	15,200000	2,721295	evolving	5,442591
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	5.0	2.0	15,200000	2,721295	realities	5,442591
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	37.0	5.0	2,918919	1,071213	military	5,356067
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	1.0	1.0	72,000000	4,276666	230209	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	1.0	1.0	72,000000	4,276666	0924595	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	1.0	1.0	72,000000	4,276666	react	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	1.0	1.0	72,000000	4,276666	conceptual	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	1.0	1.0	72,000000	4,276666	24595	4,276666
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	10.0	2.0	8,100000	2,091864	reviewed	4,183728
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	25.0	3.0	3,840000	1,345472	peacekeeping	4,036417
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	12.0	2.0	6,916667	1,933934	1856	3,867868
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_105.txt	71.0	2.0	1.0	36,500000	3,597312	extensively	3,597312
