docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	3.0	18.0	24,666667	3,205453	1807	57,698150
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	33.0	36.0	3,151515	1,147883	armed	41,323800
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	59.0	52.0	2,203390	0,789997	democratic	41,079844
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	31.0	34.0	3,290323	1,190986	paragraph	40,493511
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	58.0	50.0	2,224138	0,799369	congo	39,968470
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	66.0	52.0	2,075758	0,730326	republic	37,976962
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	34.0	32.0	3,088235	1,127600	2008	36,083194
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	7.0	14.0	11,142857	2,410799	1857	33,751181
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	28.0	26.0	3,535714	1,262915	experts	32,835799
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	60.0	42.0	2,183333	0,780853	resolution	32,795816
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	4.0	11.0	18,750000	2,931194	1952	32,243131
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	57.0	38.0	2,245614	0,808979	its	30,741202
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	1.0	7.0	72,000000	4,276666	65523	29,936663
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	56.0	36.0	2,267857	0,818835	all	29,478074
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	7.0	12.0	11,142857	2,410799	diligence	28,929584
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	41.0	28.0	2,731707	1,004927	group	28,137951
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	24.0	20.0	3,958333	1,375823	eastern	27,516461
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	8.0	12.0	9,875000	2,290006	networks	27,480076
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	26.0	20.0	3,730769	1,316614	illegal	26,332289
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	36.0	24.0	2,972222	1,089310	region	26,143438
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	37.0	22.0	2,918919	1,071213	groups	23,566693
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	39.0	22.0	2,820513	1,036919	part	22,812212
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	2.0	6.0	36,500000	3,597312	596	21,583874
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	49.0	24.0	2,448980	0,895671	international	21,496115
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	20.0	14.0	4,550000	1,515127	paragraphs	21,211781
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_Res_1952.txt	71.0	10.0	10.0	8,100000	2,091864	guidelines	20,918641
