docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
142	243.0	2.0	1.0	122,500000	4,808111	balancing	4,808111
142	243.0	3.0	1.0	82,000000	4,406719	practices	4,406719
142	243.0	3.0	1.0	82,000000	4,406719	around	4,406719
142	243.0	4.0	1.0	61,750000	4,123094	load	4,123094
142	243.0	4.0	1.0	61,750000	4,123094	best	4,123094
142	243.0	10.0	1.0	25,300000	3,230804	another	3,230804
142	243.0	11.0	1.0	23,090909	3,139439	any	3,139439
142	243.0	12.0	1.0	21,250000	3,056357	flume	3,056357
142	243.0	23.0	1.0	11,565217	2,448002	question	2,448002
142	243.0	29.0	1.0	9,379310	2,238506	there	2,238506
142	243.0	34.0	1.0	8,147059	2,097657	are	2,097657
