docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
120	243.0	1.0	1.0	244,000000	5,497168	ongoing	5,497168
120	243.0	1.0	1.0	244,000000	5,497168	decommissioned	5,497168
120	243.0	2.0	1.0	122,500000	4,808111	continue	4,808111
120	243.0	5.0	1.0	49,600000	3,903991	still	3,903991
120	243.0	47.0	2.0	6,170213	1,819733	it	3,639467
120	243.0	7.0	1.0	35,714286	3,575551	node	3,575551
120	243.0	8.0	1.0	31,375000	3,446011	yarn	3,446011
120	243.0	9.0	1.0	28,000000	3,332205	tasks	3,332205
120	243.0	10.0	1.0	25,300000	3,230804	running	3,230804
120	243.0	24.0	1.0	11,125000	2,409195	from	2,409195
120	243.0	25.0	1.0	10,720000	2,372111	when	2,372111
120	243.0	34.0	1.0	8,147059	2,097657	on	2,097657
120	243.0	55.0	1.0	5,418182	1,689760	does	1,689760
120	243.0	99.0	1.0	3,454545	1,239691	is	1,239691
120	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
120	243.0	133.0	1.0	2,827068	1,039240	the	1,039240
