docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	22.0	148.0	4,227273	1,441557	monuc	213,350442
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	21.0	110.0	4,380952	1,477266	fardc	162,499275
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	20.0	88.0	4,550000	1,515127	kivu	133,331197
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	47.0	102.0	2,510638	0,920537	2009	93,894776
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	59.0	112.0	2,203390	0,789997	democratic	88,479665
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	20.0	58.0	4,550000	1,515127	north	87,877380
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	1.0	20.0	72,000000	4,276666	37930	85,533322
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	58.0	106.0	2,224138	0,799369	congo	84,733156
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	66.0	116.0	2,075758	0,730326	republic	84,717837
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	1.0	18.0	72,000000	4,276666	33509	76,979990
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	33.0	64.0	3,151515	1,147883	armed	73,464534
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	25.0	54.0	3,840000	1,345472	police	72,655508
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	31.0	60.0	3,290323	1,190986	south	71,459137
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	51.0	80.0	2,392157	0,872195	also	69,775633
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	37.0	64.0	2,918919	1,071213	during	68,557652
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	45.0	70.0	2,577778	0,946928	government	66,284939
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	24.0	48.0	3,958333	1,375823	fdlr	66,039507
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	40.0	64.0	2,775000	1,020651	national	65,321648
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	37.0	60.0	2,918919	1,071213	groups	64,272799
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	37.0	60.0	2,918919	1,071213	military	64,272799
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	46.0	68.0	2,543478	0,933533	support	63,480213
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	22.0	44.0	4,227273	1,441557	my	63,428510
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	31.0	52.0	3,290323	1,190986	reform	61,931252
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	40.0	60.0	2,775000	1,020651	has	61,239045
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	30.0	50.0	3,366667	1,213923	elements	60,696157
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	36.0	52.0	2,972222	1,089310	continued	56,644115
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	70.0	80.0	2,014286	0,700265	security	56,021172
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	10.0	26.0	8,100000	2,091864	mayi	54,388466
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	34.0	48.0	3,088235	1,127600	march	54,124792
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	39.0	52.0	2,820513	1,036919	part	53,919773
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	28.0	42.0	3,535714	1,262915	sector	53,042444
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	63.0	70.0	2,126984	0,754705	from	52,829355
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	38.0	50.0	2,868421	1,053762	were	52,688086
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	26.0	40.0	3,730769	1,316614	addition	52,664578
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	51.0	60.0	2,392157	0,872195	including	52,331725
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	22.0	36.0	4,227273	1,441557	reporting	51,896053
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	37.0	48.0	2,918919	1,071213	operations	51,418239
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	24.0	36.0	3,958333	1,375823	eastern	49,529630
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	22.0	34.0	4,227273	1,441557	strategy	49,012939
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	57.0	60.0	2,245614	0,808979	which	48,538740
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	18.0	30.0	4,944444	1,598265	demobilization	47,947938
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	26.0	36.0	3,730769	1,316614	partners	47,398120
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	57.0	58.0	2,245614	0,808979	its	46,920782
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	55.0	56.0	2,290909	0,828949	have	46,421128
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	34.0	40.0	3,088235	1,127600	areas	45,103993
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2009_335.txt	71.0	21.0	30.0	4,380952	1,477266	integration	44,317984
