docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
d_1.txt	8.0	5.0	519.0	2,600000	0,955511	china	495,910440
d_1.txt	8.0	8.0	478.0	2,000000	0,693147	up	331,324352
d_1.txt	8.0	1.0	134.0	9,000000	2,197225	china's	294,428093
d_1.txt	8.0	8.0	417.0	2,000000	0,693147	jump	289,042374
d_1.txt	8.0	7.0	290.0	2,142857	0,762140	retrieved	221,020615
d_1.txt	8.0	4.0	190.0	3,000000	1,098612	chinese	208,736335
d_1.txt	8.0	6.0	195.0	2,333333	0,847298	2013	165,223083
d_1.txt	8.0	5.0	145.0	2,600000	0,955511	2012	138,549160
d_1.txt	8.0	3.0	89.0	3,666667	1,299283	people's	115,636186
d_1.txt	8.0	5.0	92.0	2,600000	0,955511	july	87,907053
d_1.txt	8.0	6.0	99.0	2,333333	0,847298	2011	83,882488
d_1.txt	8.0	2.0	52.0	5,000000	1,609438	dynasty	83,690771
d_1.txt	8.0	6.0	88.0	2,333333	0,847298	world	74,562212
d_1.txt	8.0	5.0	71.0	2,600000	0,955511	april	67,841313
d_1.txt	8.0	6.0	79.0	2,333333	0,847298	2010	66,936531
d_1.txt	8.0	3.0	51.0	3,666667	1,299283	bbc	66,263432
d_1.txt	8.0	6.0	77.0	2,333333	0,847298	republic	65,241935
d_1.txt	8.0	3.0	49.0	3,666667	1,299283	us	63,664866
d_1.txt	8.0	8.0	90.0	2,000000	0,693147	from	62,383246
d_1.txt	8.0	8.0	83.0	2,000000	0,693147	has	57,531216
d_1.txt	8.0	7.0	71.0	2,142857	0,762140	its	54,111944
d_1.txt	8.0	1.0	24.0	9,000000	2,197225	省	52,733390
d_1.txt	8.0	5.0	54.0	2,600000	0,955511	population	51,597618
d_1.txt	8.0	7.0	65.0	2,142857	0,762140	november	49,539103
d_1.txt	8.0	6.0	56.0	2,333333	0,847298	p	47,448680
d_1.txt	8.0	5.0	49.0	2,600000	0,955511	december	46,820061
d_1.txt	8.0	6.0	55.0	2,333333	0,847298	october	46,601382
d_1.txt	8.0	6.0	55.0	2,333333	0,847298	isbn	46,601382
d_1.txt	8.0	1.0	20.0	9,000000	2,197225	shanghai	43,944492
d_1.txt	8.0	6.0	51.0	2,333333	0,847298	world's	43,212191
d_1.txt	8.0	7.0	56.0	2,142857	0,762140	2009	42,679843
d_1.txt	8.0	4.0	37.0	3,000000	1,098612	2006	40,648655
d_1.txt	8.0	5.0	41.0	2,600000	0,955511	million	39,175969
d_1.txt	8.0	6.0	46.0	2,333333	0,847298	2014	38,975702
d_1.txt	8.0	5.0	40.0	2,600000	0,955511	august	38,220458
d_1.txt	8.0	6.0	44.0	2,333333	0,847298	largest	37,281106
d_1.txt	8.0	8.0	53.0	2,000000	0,693147	1	36,736801
d_1.txt	8.0	7.0	48.0	2,142857	0,762140	which	36,582722
d_1.txt	8.0	3.0	28.0	3,666667	1,299283	daily	36,379924
d_1.txt	8.0	3.0	28.0	3,666667	1,299283	beijing	36,379924
d_1.txt	8.0	6.0	42.0	2,333333	0,847298	b	35,586510
d_1.txt	8.0	6.0	42.0	2,333333	0,847298	march	35,586510
d_1.txt	8.0	6.0	42.0	2,333333	0,847298	country	35,586510
d_1.txt	8.0	5.0	37.0	2,600000	0,955511	total	35,353923
d_1.txt	8.0	5.0	37.0	2,600000	0,955511	27	35,353923
d_1.txt	8.0	5.0	37.0	2,600000	0,955511	national	35,353923
d_1.txt	8.0	4.0	32.0	3,000000	1,098612	24	35,155593
