docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
B_2.txt	8.0	5.0	106.0	2,600000	0,955511	germany	101,284213
B_2.txt	8.0	4.0	45.0	3,000000	1,098612	german	49,437553
B_2.txt	8.0	8.0	37.0	2,000000	0,693147	up	25,646446
B_2.txt	8.0	5.0	26.0	2,600000	0,955511	2012	24,843298
B_2.txt	8.0	7.0	27.0	2,142857	0,762140	change	20,577781
B_2.txt	8.0	4.0	18.0	3,000000	1,098612	federal	19,775021
B_2.txt	8.0	7.0	25.0	2,142857	0,762140	retrieved	19,053501
B_2.txt	8.0	8.0	27.0	2,000000	0,693147	jump	18,714974
B_2.txt	8.0	8.0	27.0	2,000000	0,693147	people	18,714974
B_2.txt	8.0	6.0	21.0	2,333333	0,847298	world	17,793255
B_2.txt	8.0	5.0	18.0	2,600000	0,955511	20	17,199206
B_2.txt	8.0	2.0	10.0	5,000000	1,609438	germans	16,094379
B_2.txt	8.0	8.0	23.0	2,000000	0,693147	from	15,942385
B_2.txt	8.0	1.0	7.0	9,000000	2,197225	logo.svg	15,380572
B_2.txt	8.0	6.0	18.0	2,333333	0,847298	march	15,251361
B_2.txt	8.0	5.0	15.0	2,600000	0,955511	war	14,332672
B_2.txt	8.0	2.0	8.0	5,000000	1,609438	deutschland	12,875503
B_2.txt	8.0	6.0	15.0	2,333333	0,847298	countries	12,709468
B_2.txt	8.0	5.0	13.0	2,600000	0,955511	million	12,421649
B_2.txt	8.0	5.0	13.0	2,600000	0,955511	union	12,421649
B_2.txt	8.0	4.0	11.0	3,000000	1,098612	empire	12,084735
B_2.txt	8.0	8.0	17.0	2,000000	0,693147	has	11,783502
B_2.txt	8.0	3.0	9.0	3,666667	1,299283	berlin	11,693547
B_2.txt	8.0	5.0	12.0	2,600000	0,955511	west	11,466137
B_2.txt	8.0	2.0	7.0	5,000000	1,609438	angela	11,266065
B_2.txt	8.0	2.0	7.0	5,000000	1,609438	bundestag	11,266065
B_2.txt	8.0	2.0	7.0	5,000000	1,609438	lot	11,266065
B_2.txt	8.0	8.0	16.0	2,000000	0,693147	also	11,090355
B_2.txt	8.0	6.0	13.0	2,333333	0,847298	2013	11,014872
B_2.txt	8.0	6.0	13.0	2,333333	0,847298	east	11,014872
B_2.txt	8.0	7.0	14.0	2,142857	0,762140	source	10,669961
B_2.txt	8.0	3.0	8.0	3,666667	1,299283	roman	10,394264
B_2.txt	8.0	6.0	12.0	2,333333	0,847298	country	10,167574
B_2.txt	8.0	6.0	12.0	2,333333	0,847298	about	10,167574
B_2.txt	8.0	6.0	12.0	2,333333	0,847298	european	10,167574
B_2.txt	8.0	7.0	13.0	2,142857	0,762140	one	9,907821
B_2.txt	8.0	2.0	6.0	5,000000	1,609438	merkel	9,656627
B_2.txt	8.0	2.0	6.0	5,000000	1,609438	poland	9,656627
B_2.txt	8.0	2.0	6.0	5,000000	1,609438	und	9,656627
B_2.txt	8.0	7.0	12.0	2,142857	0,762140	other	9,145681
B_2.txt	8.0	3.0	7.0	3,666667	1,299283	update	9,094981
B_2.txt	8.0	6.0	10.0	2,333333	0,847298	were	8,472979
B_2.txt	8.0	6.0	10.0	2,333333	0,847298	after	8,472979
B_2.txt	8.0	6.0	10.0	2,333333	0,847298	2011	8,472979
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	hitler	8,047190
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	bevölkerung	8,047190
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	austria	8,047190
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	bundesrat	8,047190
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	reich	8,047190
B_2.txt	8.0	2.0	5.0	5,000000	1,609438	holy	8,047190
B_2.txt	8.0	3.0	6.0	3,666667	1,299283	chancellor	7,795698
B_2.txt	8.0	4.0	7.0	3,000000	1,098612	website	7,690286
B_2.txt	8.0	5.0	8.0	2,600000	0,955511	started	7,644092
B_2.txt	8.0	5.0	8.0	2,600000	0,955511	north	7,644092
B_2.txt	8.0	6.0	9.0	2,333333	0,847298	23	7,625681
B_2.txt	8.0	6.0	9.0	2,333333	0,847298	republic	7,625681
B_2.txt	8.0	6.0	8.0	2,333333	0,847298	first	6,778383
B_2.txt	8.0	6.0	8.0	2,333333	0,847298	called	6,778383
B_2.txt	8.0	1.0	3.0	9,000000	2,197225	rated	6,591674
B_2.txt	8.0	2.0	4.0	5,000000	1,609438	bundesrepublik	6,437752
B_2.txt	8.0	2.0	4.0	5,000000	1,609438	rhine	6,437752
B_2.txt	8.0	2.0	4.0	5,000000	1,609438	die	6,437752
B_2.txt	8.0	8.0	9.0	2,000000	0,693147	most	6,238325
B_2.txt	8.0	6.0	7.0	2,333333	0,847298	second	5,931085
B_2.txt	8.0	6.0	7.0	2,333333	0,847298	states	5,931085
B_2.txt	8.0	6.0	7.0	2,333333	0,847298	history	5,931085
B_2.txt	8.0	5.0	6.0	2,600000	0,955511	green	5,733069
B_2.txt	8.0	5.0	6.0	2,600000	0,955511	total	5,733069
B_2.txt	8.0	8.0	8.0	2,000000	0,693147	1	5,545177
