docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	32.0	230.0	3,218750	1,168993	children	268,868410
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	21.0	162.0	4,380952	1,477266	fardc	239,317115
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	47.0	196.0	2,510638	0,920537	2009	180,425256
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	38.0	154.0	2,868421	1,053762	were	162,279305
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	20.0	98.0	4,550000	1,515127	kivu	148,482469
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	4.0	48.0	18,750000	2,931194	mai	140,697300
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	33.0	110.0	3,151515	1,147883	armed	126,267167
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	27.0	80.0	3,629630	1,289131	child	103,130449
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	17.0	62.0	5,176471	1,644123	cases	101,935655
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	22.0	70.0	4,227273	1,441557	reporting	100,908993
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	37.0	90.0	2,918919	1,071213	during	96,409198
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	46.0	102.0	2,543478	0,933533	against	95,220319
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	20.0	62.0	4,550000	1,515127	north	93,937888
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	20.0	62.0	4,550000	1,515127	lra	93,937888
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	22.0	64.0	4,227273	1,441557	monuc	92,259651
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	40.0	88.0	2,775000	1,020651	been	89,817266
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	26.0	68.0	3,730769	1,316614	recruitment	89,529782
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	18.0	52.0	4,944444	1,598265	cent	83,109760
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	37.0	76.0	2,918919	1,071213	groups	81,412212
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	21.0	54.0	4,380952	1,477266	integration	79,772372
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	37.0	74.0	2,918919	1,071213	military	79,269785
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2010_369.txt	71.0	21.0	52.0	4,380952	1,477266	per	76,817839
