docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	220.0	36,500000	3,597312	vsrnh	791,408697
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	220.0	36,500000	3,597312	lq	791,408697
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	210.0	36,500000	3,597312	udelf	755,435575
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	205.0	36,500000	3,597312	zdv	737,449013
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	22.0	484.0	4,227273	1,441557	draft	697,713607
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	144.0	36,500000	3,597312	dgrswhg	518,012966
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	126.0	36,500000	3,597312	uhvroxwlrq	453,261345
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	20.0	283.0	4,550000	1,515127	66	428,781007
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	24.0	282.0	3,958333	1,375823	third	387,982103
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	60.0	480.0	2,183333	0,780853	resolution	374,809325
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	34.0	320.0	3,088235	1,127600	assembly	360,831944
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	2.0	96.0	36,500000	3,597312	udiw	345,341977
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	66.0	442.0	2,075758	0,730326	republic	322,804173
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	46.0	328.0	2,543478	0,933533	committee	306,198673
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	7.0	114.0	11,142857	2,410799	wishes	274,831049
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	44.0	286.0	2,613636	0,960742	rights	274,772353
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	28.0	204.0	3,535714	1,262915	entitled	257,634729
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	46.0	264.0	2,543478	0,933533	i	246,452590
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	44.0	250.0	2,613636	0,960742	human	240,185624
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	12.0	108.0	6,916667	1,933934	guinea	208,864867
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	8.0	90.0	9,875000	2,290006	saint	206,100568
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	17.0	124.0	5,176471	1,644123	do	203,871310
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	45.0	206.0	2,577778	0,946928	take	195,067106
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	13.0	94.0	6,461538	1,865867	we	175,391539
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	22.0	118.0	4,227273	1,441557	item	170,103731
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	13.0	86.0	6,461538	1,865867	vote	160,464600
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	8.0	70.0	9,875000	2,290006	syrian	160,300442
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	39.0	154.0	2,820513	1,036919	may	159,685483
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	63.0	210.0	2,126984	0,754705	president	158,488065
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	67.0	203.0	2,059701	0,722561	united	146,679896
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	14.0	78.0	6,071429	1,803594	arab	140,680326
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	24.0	102.0	3,958333	1,375823	agenda	140,333952
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	57.0	172.0	2,245614	0,808979	its	139,144387
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	24.0	98.0	3,958333	1,375823	decision	134,830660
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	11.0	66.0	7,454545	2,008824	korea	132,582382
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	31.0	110.0	3,290323	1,190986	paragraph	131,008417
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	40.0	128.0	2,775000	1,020651	has	130,643296
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	28.0	102.0	3,535714	1,262915	same	128,817365
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	1.0	30.0	72,000000	4,276666	jdlqvw	128,299984
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	1.0	30.0	72,000000	4,276666	yrwhv	128,299984
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	1.0	29.0	72,000000	4,276666	64365	124,023317
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/A_66_PV.89.txt	71.0	10.0	58.0	8,100000	2,091864	islands	121,328116
