docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	20.0	207.0	4,550000	1,515127	iran	313,631337
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	18.0	179.0	4,944444	1,598265	agency	286,089366
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	82.0	24,666667	3,205453	gov	262,847130
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	6.0	69.0	12,833333	2,552046	nuclear	176,091171
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	47.0	24,666667	3,205453	uf6	150,656282
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	4.0	50.0	18,750000	2,931194	enrichment	146,559688
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	9.0	64.0	8,888889	2,184802	para	139,827332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	9.0	55.0	8,888889	2,184802	safeguards	120,164113
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	40.0	111.0	2,775000	1,020651	has	113,292233
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	34.0	24,666667	3,205453	cascades	108,985395
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	7.0	44.0	11,142857	2,410799	production	106,075142
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	33.0	24,666667	3,205453	uranium	105,779943
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	4.0	36.0	18,750000	2,931194	enriched	105,522975
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	4.0	36.0	18,750000	2,931194	plant	105,522975
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	8.0	46.0	9,875000	2,290006	fuel	105,340290
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	31.0	24,666667	3,205453	centrifuges	99,369037
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	8.0	42.0	9,875000	2,290006	iran’s	96,180265
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	3.0	29.0	24,666667	3,205453	reactor	92,958131
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	10.0	42.0	8,100000	2,091864	facility	87,858291
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/S_2011_94.txt	71.0	27.0	67.0	3,629630	1,289131	february	86,371751
