docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
80	243.0	6.0	3.0	41,500000	3,725693	configuration	11,177080
80	243.0	3.0	2.0	82,000000	4,406719	name	8,813438
80	243.0	7.0	2.0	35,714286	3,575551	value	7,151102
80	243.0	8.0	2.0	31,375000	3,446011	property	6,892023
80	243.0	1.0	1.0	244,000000	5,497168	checking	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	tool	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	toolrunner.xml	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	runner	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	double	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	project	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	casesensitive	5,497168
80	243.0	1.0	1.0	244,000000	5,497168	conf	5,497168
80	243.0	133.0	5.0	2,827068	1,039240	the	5,196200
80	243.0	2.0	1.0	122,500000	4,808111	xml	4,808111
80	243.0	2.0	1.0	122,500000	4,808111	true	4,808111
80	243.0	2.0	1.0	122,500000	4,808111	provide	4,808111
80	243.0	2.0	1.0	122,500000	4,808111	vm	4,808111
80	243.0	3.0	1.0	82,000000	4,406719	eclipse	4,406719
80	243.0	3.0	1.0	82,000000	4,406719	dev	4,406719
80	243.0	3.0	1.0	82,000000	4,406719	custom	4,406719
80	243.0	4.0	1.0	61,750000	4,123094	want	4,123094
80	243.0	4.0	1.0	61,750000	4,123094	option	4,123094
80	243.0	4.0	1.0	61,750000	4,123094	line	4,123094
80	243.0	86.0	3.0	3,825581	1,341710	in	4,025131
80	243.0	5.0	1.0	49,600000	3,903991	answer	3,903991
80	243.0	5.0	1.0	49,600000	3,903991	command	3,903991
80	243.0	6.0	1.0	41,500000	3,725693	case	3,725693
80	243.0	6.0	1.0	41,500000	3,725693	just	3,725693
80	243.0	7.0	1.0	35,714286	3,575551	something	3,575551
80	243.0	11.0	1.0	23,090909	3,139439	like	3,139439
80	243.0	14.0	1.0	18,357143	2,910019	would	2,910019
80	243.0	17.0	1.0	15,294118	2,727468	my	2,727468
80	243.0	22.0	1.0	12,045455	2,488687	with	2,488687
80	243.0	22.0	1.0	12,045455	2,488687	student	2,488687
80	243.0	23.0	1.0	11,565217	2,448002	question	2,448002
80	243.0	25.0	1.0	10,720000	2,372111	file	2,372111
80	243.0	28.0	1.0	9,678571	2,269914	be	2,269914
80	243.0	40.0	1.0	7,075000	1,956567	if	1,956567
80	243.0	47.0	1.0	6,170213	1,819733	it	1,819733
80	243.0	70.0	1.0	4,471429	1,497708	of	1,497708
80	243.0	73.0	1.0	4,328767	1,465283	i	1,465283
80	243.0	101.0	1.0	3,405941	1,225521	to	1,225521
80	243.0	119.0	1.0	3,042017	1,112521	a	1,112521
