docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	70.0	16.0	2,014286	0,700265	council	11,204234
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	59.0	12.0	2,203390	0,789997	democratic	9,479964
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	70.0	13.0	2,014286	0,700265	security	9,103440
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	20.0	6.0	4,550000	1,515127	reiterated	9,090763
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	66.0	12.0	2,075758	0,730326	republic	8,763914
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	9.0	4.0	8,888889	2,184802	briefed	8,739208
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	1.0	2.0	72,000000	4,276666	recourse	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	1.0	2.0	72,000000	4,276666	process.they	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	24.0	6.0	3,958333	1,375823	electoral	8,254938
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	5.0	3.0	15,200000	2,721295	process.the	8,163886
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	41.0	8.0	2,731707	1,004927	violence	8,039414
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	56.0	9.0	2,267857	0,818835	all	7,369519
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	2.0	2.0	36,500000	3,597312	moraes	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	2.0	2.0	36,500000	3,597312	filipe	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	2.0	2.0	36,500000	3,597312	cabral	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	2.0	2.0	36,500000	3,597312	peacefully.the	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	60.0	9.0	2,183333	0,780853	members	7,027675
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10441.txt	71.0	3.0	2.0	24,666667	3,205453	congo.the	6,410906
