docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
b_1.txt	8.0	4.0	230.0	3,000000	1,098612	german	252,680826
b_1.txt	8.0	5.0	241.0	2,600000	0,955511	germany	230,278258
b_1.txt	8.0	8.0	247.0	2,000000	0,693147	up	171,207354
b_1.txt	8.0	8.0	229.0	2,000000	0,693147	jump	158,730704
b_1.txt	8.0	7.0	180.0	2,142857	0,762140	retrieved	137,185209
b_1.txt	8.0	6.0	127.0	2,333333	0,847298	2011	107,606828
b_1.txt	8.0	6.0	94.0	2,333333	0,847298	march	79,645999
b_1.txt	8.0	6.0	74.0	2,333333	0,847298	world	62,700042
b_1.txt	8.0	6.0	68.0	2,333333	0,847298	2014	57,616255
b_1.txt	8.0	4.0	49.0	3,000000	1,098612	federal	53,832002
b_1.txt	8.0	8.0	74.0	2,000000	0,693147	from	51,292891
b_1.txt	8.0	3.0	38.0	3,666667	1,299283	berlin	49,372753
b_1.txt	8.0	3.0	35.0	3,666667	1,299283	2015	45,474904
b_1.txt	8.0	2.0	28.0	5,000000	1,609438	der	45,064262
b_1.txt	8.0	5.0	41.0	2,600000	0,955511	28	39,175969
b_1.txt	8.0	4.0	35.0	3,000000	1,098612	pdf	38,451430
b_1.txt	8.0	6.0	44.0	2,333333	0,847298	european	37,281106
b_1.txt	8.0	2.0	23.0	5,000000	1,609438	deutschland	37,017072
b_1.txt	8.0	5.0	38.0	2,600000	0,955511	april	36,309435
b_1.txt	8.0	2.0	22.0	5,000000	1,609438	rhine	35,407634
b_1.txt	8.0	6.0	41.0	2,333333	0,847298	may	34,739212
b_1.txt	8.0	8.0	50.0	2,000000	0,693147	1	34,657359
b_1.txt	8.0	2.0	20.0	5,000000	1,609438	germans	32,188758
b_1.txt	8.0	6.0	37.0	2,333333	0,847298	2010	31,350021
b_1.txt	8.0	6.0	37.0	2,333333	0,847298	largest	31,350021
b_1.txt	8.0	7.0	41.0	2,142857	0,762140	its	31,247742
b_1.txt	8.0	8.0	45.0	2,000000	0,693147	has	31,191623
b_1.txt	8.0	3.0	24.0	3,666667	1,299283	roman	31,182792
b_1.txt	8.0	5.0	32.0	2,600000	0,955511	million	30,576366
b_1.txt	8.0	6.0	36.0	2,333333	0,847298	europe	30,502723
b_1.txt	8.0	6.0	35.0	2,333333	0,847298	were	29,655425
b_1.txt	8.0	8.0	42.0	2,000000	0,693147	most	29,112182
b_1.txt	8.0	2.0	18.0	5,000000	1,609438	holy	28,969882
b_1.txt	8.0	2.0	18.0	5,000000	1,609438	germanic	28,969882
b_1.txt	8.0	6.0	34.0	2,333333	0,847298	after	28,808127
b_1.txt	8.0	5.0	30.0	2,600000	0,955511	national	28,665343
b_1.txt	8.0	1.0	13.0	9,000000	2,197225	bundeswehr	28,563920
b_1.txt	8.0	7.0	37.0	2,142857	0,762140	which	28,199182
b_1.txt	8.0	6.0	33.0	2,333333	0,847298	2013	27,960829
b_1.txt	8.0	2.0	17.0	5,000000	1,609438	und	27,360445
b_1.txt	8.0	2.0	17.0	5,000000	1,609438	die	27,360445
b_1.txt	8.0	6.0	32.0	2,333333	0,847298	states	27,113532
b_1.txt	8.0	5.0	28.0	2,600000	0,955511	north	26,754320
b_1.txt	8.0	5.0	28.0	2,600000	0,955511	2012	26,754320
b_1.txt	8.0	5.0	28.0	2,600000	0,955511	article	26,754320
b_1.txt	8.0	6.0	31.0	2,333333	0,847298	country	26,266234
b_1.txt	8.0	5.0	27.0	2,600000	0,955511	war	25,798809
b_1.txt	8.0	2.0	16.0	5,000000	1,609438	westphalia	25,751007
b_1.txt	8.0	6.0	30.0	2,333333	0,847298	isbn	25,418936
b_1.txt	8.0	6.0	30.0	2,333333	0,847298	east	25,418936
b_1.txt	8.0	4.0	23.0	3,000000	1,098612	pp	25,268083
b_1.txt	8.0	5.0	26.0	2,600000	0,955511	27	24,843298
b_1.txt	8.0	5.0	26.0	2,600000	0,955511	west	24,843298
b_1.txt	8.0	3.0	19.0	3,666667	1,299283	deutsche	24,686377
b_1.txt	8.0	6.0	29.0	2,333333	0,847298	international	24,571638
b_1.txt	8.0	1.0	11.0	9,000000	2,197225	fulbrook	24,169470
b_1.txt	8.0	4.0	22.0	3,000000	1,098612	been	24,169470
b_1.txt	8.0	1.0	11.0	9,000000	2,197225	friedrich	24,169470
b_1.txt	8.0	2.0	15.0	5,000000	1,609438	von	24,141569
b_1.txt	8.0	5.0	25.0	2,600000	0,955511	union	23,887786
b_1.txt	8.0	5.0	25.0	2,600000	0,955511	university	23,887786
b_1.txt	8.0	5.0	25.0	2,600000	0,955511	26	23,887786
b_1.txt	8.0	3.0	18.0	3,666667	1,299283	978	23,387094
b_1.txt	8.0	4.0	21.0	3,000000	1,098612	empire	23,070858
b_1.txt	8.0	7.0	30.0	2,142857	0,762140	3	22,864202
b_1.txt	8.0	5.0	23.0	2,600000	0,955511	19	21,976763
b_1.txt	8.0	7.0	28.0	2,142857	0,762140	since	21,339921
b_1.txt	8.0	6.0	25.0	2,333333	0,847298	state	21,182447
b_1.txt	8.0	6.0	25.0	2,333333	0,847298	p	21,182447
b_1.txt	8.0	5.0	22.0	2,600000	0,955511	development	21,021252
b_1.txt	8.0	3.0	16.0	3,666667	1,299283	energy	20,788528
b_1.txt	8.0	7.0	27.0	2,142857	0,762140	new	20,577781
b_1.txt	8.0	5.0	21.0	2,600000	0,955511	december	20,065740
b_1.txt	8.0	5.0	21.0	2,600000	0,955511	september	20,065740
b_1.txt	8.0	1.0	9.0	9,000000	2,197225	otto	19,775021
b_1.txt	8.0	3.0	15.0	3,666667	1,299283	film	19,489245
b_1.txt	8.0	3.0	15.0	3,666667	1,299283	archived	19,489245
b_1.txt	8.0	6.0	23.0	2,333333	0,847298	history	19,487851
b_1.txt	8.0	6.0	23.0	2,333333	0,847298	press	19,487851
b_1.txt	8.0	5.0	20.0	2,600000	0,955511	century	19,110229
b_1.txt	8.0	5.0	20.0	2,600000	0,955511	include	19,110229
b_1.txt	8.0	5.0	20.0	2,600000	0,955511	population	19,110229
