docId	N	ni	tf	(1+N/ni)	idf	word	tfidf
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	2.0	9.0	36,500000	3,597312	consular	32,375810
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	3.0	8.0	24,666667	3,205453	premises	25,643622
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	13.0	9.0	6,461538	1,865867	diplomatic	16,792807
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	8.0	4.0	9,875000	2,290006	vienna	9,160025
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	embassy	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	kingdom’s	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	damage.the	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	kingdomdiplomatic	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	inviolability	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	intrusion	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	intrusions	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	1.0	2.0	72,000000	4,276666	impairment	8,553332
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	70.0	12.0	2,014286	0,700265	council	8,403176
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	12.0	4.0	6,916667	1,933934	convention	7,735736
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	2.0	2.0	36,500000	3,597312	disturbance	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	2.0	2.0	36,500000	3,597312	moraes	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	2.0	2.0	36,500000	3,597312	filipe	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	2.0	2.0	36,500000	3,597312	cabral	7,194625
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	3.0	2.0	24,666667	3,205453	host	6,410906
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	3.0	2.0	24,666667	3,205453	1961	6,410906
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	3.0	2.0	24,666667	3,205453	causing	6,410906
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	4.0	2.0	18,750000	2,931194	strongest	5,862388
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	4.0	2.0	18,750000	2,931194	josé	5,862388
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	32.0	5.0	3,218750	1,168993	attacks	5,844965
/Volumes/MyExternalDrive/GITHUB.cloudera.internal/TF-IDF/./docs/exp20/all/SC_10463.txt	71.0	46.0	6.0	2,543478	0,933533	against	5,601195
